Ticker,Name,Total Return:M-6,Rev - 1 Yr Gr:Q,Market Cap,Market Cap,Price:D-1,P/E
PRCH US Equity,PORCH GROUP INC,-49.21,191.85,915918784.00,915918784.00,9.34,
DOMO US Equity,DOMO INC - CLASS B,-50.16,21.32,1442999168.00,1442999168.00,44.25,
FSLY US Equity,FASTLY INC - CLASS A,-50.25,22.79,3186359808.00,3186359808.00,25.05,
HCAT US Equity,HEALTH CATALYST INC,-50.30,30.82,1475767552.00,1475767552.00,28.35,
AMEH US Equity,APOLLO MEDICAL HOLDINGS INC,-51.99,26.09,2624137472.00,2624137472.00,47.24,18.25
TWLO US Equity,TWILIO INC - A,-52.23,65.23,33566828544.00,33566828544.00,188.23,
SGFY US Equity,SIGNIFY HEALTH INC -CLASS A,-53.34,28.77,2824940544.00,2824940544.00,12.45,
CDLX US Equity,CARDLYTICS INC,-53.68,41.03,2014779776.00,2014779776.00,60.56,
ALKT US Equity,ALKAMI TECHNOLOGY INC,-54.09,37.39,1248173568.00,1248173568.00,14.16,
LPRO US Equity,OPEN LENDING CORP - CL A,-54.20,97.88,2195712000.00,2195712000.00,17.40,15.75
OLO US Equity,OLO INC - CLASS A,-54.94,35.94,2442460672.00,2442460672.00,16.10,
RIOT US Equity,RIOT BLOCKCHAIN INC,-55.40,2532.33,1713776000.00,1713776000.00,14.70,
AI US Equity,C3.AI INC-A,-55.81,40.93,2450520832.00,2450520832.00,23.33,
BAND US Equity,BANDWIDTH INC-CLASS A,-56.15,54.13,1447962880.00,1447962880.00,57.61,
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,-56.79,49.20,2173628672.00,2173628672.00,30.35,
SQ US Equity,BLOCK INC,-57.32,26.73,50915602432.00,50915602432.00,110.38,149.46
SHCR US Equity,SHARECARE INC,-57.75,31.63,1017103232.00,1017103232.00,3.00,
BLND US Equity,BLEND LABS INC-A,-57.75,221.30,1728895872.00,1728895872.00,7.52,
LPSN US Equity,LIVEPERSON INC,-57.98,24.81,1885837568.00,1885837568.00,26.65,
PHR US Equity,PHREESIA INC,-58.89,45.37,1457261696.00,1457261696.00,28.44,
YALA US Equity,YALLA GROUP LTD,-59.18,110.81,787297792.00,787297792.00,5.47,12.43
DM US Equity,DESKTOP METAL INC-A,-59.98,906.65,1158280704.00,1158280704.00,3.75,
WIX US Equity,WIX.COM LTD,-60.69,26.21,6771902976.00,6771902976.00,118.90,
ZM US Equity,ZOOM VIDEO COMMUNICATIONS-A,-61.08,35.20,42854596608.00,42854596608.00,143.81,41.01
DOCU US Equity,DOCUSIGN INC,-61.52,42.45,23208937472.00,23208937472.00,117.29,
TLS US Equity,TELOS CORPORATION,-62.00,47.69,702932544.00,702932544.00,10.53,
PAGS US Equity,PAGSEGURO DIGITAL LTD-CL A,-62.02,55.81,6870178816.00,6870178816.00,20.87,7.81
ONEM US Equity,1LIFE HEALTHCARE INC,-63.16,48.85,1924158848.00,1924158848.00,10.08,
EVBG US Equity,EVERBRIDGE INC,-66.97,35.77,1849756416.00,1849756416.00,46.96,
API US Equity,AGORA INC-ADR,-70.62,46.00,1083390592.00,1083390592.00,9.35,
KC US Equity,KINGSOFT CLOUD HOLDINGS-ADR,-74.03,39.62,1781101440.00,1781101440.00,7.37,
STNE US Equity,STONECO LTD-A,-74.32,57.30,4528934400.00,4528934400.00,14.66,19.15
TUYA US Equity,TUYA INC,-75.15,44.85,2783782912.00,2783782912.00,4.96,
OCFT US Equity,ONECONNECT FINANCIAL TECHNO,-78.05,20.78,694188544.00,694188544.00,1.78,
